Date,Open,High,Low,Close,Volume
12/31/2025,"273.06","273.68","271.75","271.86","27,293,641"
12/30/2025,"272.81","274.08","272.28","273.08","22,139,619"
12/29/2025,"272.69","274.36","272.35","273.76","23,715,211"
12/26/2025,"274.16","275.37","272.86","273.40","21,521,801"
12/24/2025,"272.34","275.43","272.20","273.81","17,910,570"
12/23/2025,"270.84","272.50","269.56","272.36","29,642,000"
12/22/2025,"272.86","273.88","270.51","270.97","36,571,832"
12/19/2025,"272.15","274.60","269.90","273.67","144,632,000"
12/18/2025,"273.61","273.63","266.95","272.19","51,630,719"
12/17/2025,"275.01","276.16","271.64","271.84","50,138,738"
12/16/2025,"272.82","275.50","271.79","274.61","37,648,633"
12/15/2025,"280.15","280.15","272.84","274.11","50,409,078"
12/12/2025,"277.90","279.22","276.82","278.28","39,532,887"
12/11/2025,"279.10","279.59","273.81","278.03","33,247,988"
12/10/2025,"277.75","279.75","276.44","278.78","33,038,320"
12/09/2025,"278.16","280.03","276.92","277.18","32,193,260"
12/08/2025,"278.13","279.67","276.15","277.89","38,211,832"
12/05/2025,"280.54","281.14","278.05","278.78","47,265,848"
12/04/2025,"284.10","284.73","278.59","280.70","43,989,059"
12/03/2025,"286.20","288.62","283.30","284.15","43,538,688"
12/02/2025,"283.00","287.40","282.63","286.19","53,669,527"
12/01/2025,"278.01","283.42","276.14","283.10","45,497,800"
11/28/2025,"277.26","279.00","275.99","278.85","20,132,200"
11/26/2025,"276.96","279.53","276.63","277.55","33,431,422"
11/25/2025,"275.27","280.38","275.25","276.97","46,914,219"
11/24/2025,"270.90","277.00","270.90","275.92","65,585,797"
11/21/2025,"265.95","273.33","265.67","271.49","59,030,832"
11/20/2025,"270.83","275.43","265.92","266.25","45,823,566"
11/19/2025,"265.53","272.21","265.50","268.56","40,424,488"
11/18/2025,"269.99","270.71","265.32","267.44","45,677,281"
11/17/2025,"268.82","270.49","265.73","267.46","45,018,262"
11/14/2025,"271.05","275.96","269.60","272.41","47,431,328"
11/13/2025,"274.11","276.70","272.09","272.95","49,602,793"
11/12/2025,"275.00","275.73","271.70","273.47","48,397,980"
11/11/2025,"269.81","275.91","269.80","275.25","46,208,320"
11/10/2025,"268.96","273.73","267.46","269.43","41,312,406"
11/07/2025,"269.80","272.29","266.77","268.47","48,227,367"
11/06/2025,"267.89","273.40","267.89","269.77","51,204,047"
11/05/2025,"268.61","271.70","266.93","270.14","43,683,070"
11/04/2025,"268.33","271.49","267.62","270.04","49,274,848"
11/03/2025,"270.42","270.85","266.25","269.05","50,194,578"
10/31/2025,"276.99","277.32","269.16","270.37","86,167,117"
10/30/2025,"271.99","274.14","268.48","271.40","69,886,531"
10/29/2025,"269.28","271.41","267.11","269.70","51,086,738"
10/28/2025,"268.99","269.89","268.15","269.00","41,534,762"
10/27/2025,"264.88","269.12","264.65","268.81","44,888,152"
10/24/2025,"261.19","264.13","259.18","262.82","38,253,719"
10/23/2025,"259.94","260.62","258.01","259.58","32,754,939"
10/22/2025,"262.65","262.85","255.43","258.45","45,015,246"
10/21/2025,"261.88","265.29","261.83","262.77","46,695,953"
